id	Protein_Name	Accession_Number	Identified_Peptide_Count	Protein_Group_Score	Description	Gene_name	Uniprot_ID
395	tr|A0A3Q3AJC0|A0A3Q3AJC0_CHICK Carboxylic ester hydrolase OS=Gallus gallus (Chicken) OX=9031 GN=LOC415787 PE=3 SV=1	tr|A0A3Q3AJC0|A0A3Q3AJC0_CHICK	4	0.9999264014986693	Carboxylic ester hydrolase	LOC415787	A0A3Q3AJC0
396	Group of sp|O93319|CAD11_CHICK Cadherin-11 OS=Gallus gallus (Chicken) OX=9031 GN=CDH11 PE=2 SV=1	sp|O93319|CAD11_CHICK (+1)	5	0.9999262749988702	Cadherin-11	CDH11	O93319
397	sp|P05122|KCRB_CHICK Creatine kinase B-type OS=Gallus gallus (Chicken) OX=9031 GN=CKB PE=1 SV=1	sp|P05122|KCRB_CHICK	4	0.9999262339988491	Creatine kinase B-type	CKB	P05122
398	tr|F1NZW7|F1NZW7_CHICK PPIase cyclophilin-type domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PPIC PE=4 SV=4	tr|F1NZW7|F1NZW7_CHICK	2	0.9999247792002279	PPIase cyclophilin-type domain-containing protein	PPIC	F1NZW7
399	tr|A0A1L1RV73|A0A1L1RV73_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MSLNL PE=4 SV=2	tr|A0A1L1RV73|A0A1L1RV73_CHICK	1	0.9999219352030195	Uncharacterized protein	MSLNL	A0A1L1RV73
400	tr|A0A3Q2UEN8|A0A3Q2UEN8_CHICK Tenascin N OS=Gallus gallus (Chicken) OX=9031 GN=TNN PE=4 SV=1	tr|A0A3Q2UEN8|A0A3Q2UEN8_CHICK	8	0.9999197649012785	Tenascin N	TNN	A0A3Q2UEN8
401	tr|A0A1D5NX08|A0A1D5NX08_CHICK Carboxylic ester hydrolase OS=Gallus gallus (Chicken) OX=9031 GN=CES1L2 PE=3 SV=2	tr|A0A1D5NX08|A0A1D5NX08_CHICK	8	0.9999195295022218	Carboxylic ester hydrolase	CES1L2	A0A1D5NX08
402	tr|A0A1L1RUE7|A0A1L1RUE7_CHICK Proteasome subunit beta OS=Gallus gallus (Chicken) OX=9031 GN=LOC107049719 PE=3 SV=2	tr|A0A1L1RUE7|A0A1L1RUE7_CHICK	2	0.999918032597634	Proteasome subunit beta	LOC107049719	A0A1L1RUE7
403	tr|F1NJF8|F1NJF8_CHICK Alpha-galactosidase OS=Gallus gallus (Chicken) OX=9031 GN=NAGA PE=3 SV=2	tr|F1NJF8|F1NJF8_CHICK	3	0.9999177036006586	Alpha-galactosidase	NAGA	F1NJF8
404	tr|A0A1L1RIW5|A0A1L1RIW5_CHICK IF rod domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=KRT8 PE=3 SV=2	tr|A0A1L1RIW5|A0A1L1RIW5_CHICK	3	0.9999166228008107	IF rod domain-containing protein	KRT8	A0A1L1RIW5
405	tr|A0A1D5PJA4|A0A1D5PJA4_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000037011 PE=4 SV=2	tr|A0A1D5PJA4|A0A1D5PJA4_CHICK	5	0.9999159126964514	Ig-like domain-containing protein	ENSGALG00000037011	A0A1D5PJA4
406	tr|A0A1D5NW86|A0A1D5NW86_CHICK Fibrillin 3 OS=Gallus gallus (Chicken) OX=9031 GN=FBN3 PE=4 SV=3	tr|A0A1D5NW86|A0A1D5NW86_CHICK	6	0.9999157404017751	Fibrillin 3	FBN3	A0A1D5NW86
407	Group of sp|O93532|K2CO_CHICK Keratin, type II cytoskeletal cochleal OS=Gallus gallus (Chicken) OX=9031 GN=- PE=2 SV=1	sp|O93532|K2CO_CHICK (+2)	4	0.999914993699349	Keratin, type II cytoskeletal cochleal	-	O93532
408	tr|A0A1D5PXL0|A0A1D5PXL0_CHICK Beta-galactosidase OS=Gallus gallus (Chicken) OX=9031 GN=GLB1 PE=3 SV=1	tr|A0A1D5PXL0|A0A1D5PXL0_CHICK	9	0.9999147034031921	Beta-galactosidase	GLB1	A0A1D5PXL0
409	Group of tr|A0A3Q2U287|A0A3Q2U287_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049823 PE=4 SV=1	tr|A0A3Q2U287|A0A3Q2U287_CHICK (+1)	4	0.9999144823013921	Ig-like domain-containing protein	ENSGALG00000049823	A0A3Q2U287
410	tr|E1C440|E1C440_CHICK BPTI/Kunitz inhibitor domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=APP PE=4 SV=3	tr|E1C440|E1C440_CHICK	3	0.9999140436993912	BPTI/Kunitz inhibitor domain-containing protein	APP	E1C440
411	Group of sp|P31335|PUR9_CHICK Bifunctional purine biosynthesis protein PURH OS=Gallus gallus (Chicken) OX=9031 GN=ATIC PE=1 SV=1	sp|P31335|PUR9_CHICK (+1)	6	0.9999138374987524	Bifunctional purine biosynthesis protein PURH	ATIC	P31335
412	Group of sp|O93574|RELN_CHICK Reelin OS=Gallus gallus (Chicken) OX=9031 GN=RELN PE=2 SV=1	sp|O93574|RELN_CHICK (+1)	7	0.9999113576996024	Reelin	RELN	O93574
413	tr|F1P0X8|F1P0X8_CHICK Olfactomedin-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=OLFML2A PE=4 SV=4	tr|F1P0X8|F1P0X8_CHICK	1	0.9999107651019585	Olfactomedin-like domain-containing protein	OLFML2A	F1P0X8
414	tr|E1BWA9|E1BWA9_CHICK ILEI domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=FAM3C PE=4 SV=1	tr|E1BWA9|E1BWA9_CHICK	3	0.9999106120012584	ILEI domain-containing protein	FAM3C	E1BWA9
415	sp|Q5ZMD1|1433T_CHICK 14-3-3 protein theta OS=Gallus gallus (Chicken) OX=9031 GN=YWHAQ PE=1 SV=1	sp|Q5ZMD1|1433T_CHICK	4	0.9999105501992744	14-3-3 protein theta	YWHAQ	Q5ZMD1
416	tr|F1NEQ6|F1NEQ6_CHICK Proteasome subunit alpha type OS=Gallus gallus (Chicken) OX=9031 GN=PSMA6 PE=3 SV=2	tr|F1NEQ6|F1NEQ6_CHICK	4	0.9999096968022059	Proteasome subunit alpha type	PSMA6	F1NEQ6
417	tr|H9L0U6|H9L0U6_CHICK Proteasome subunit beta OS=Gallus gallus (Chicken) OX=9031 GN=PSMB4 PE=3 SV=1	tr|H9L0U6|H9L0U6_CHICK	2	0.999909685800958	Proteasome subunit beta	PSMB4	H9L0U6
418	sp|P33150|CAD13_CHICK Cadherin-13 OS=Gallus gallus (Chicken) OX=9031 GN=CDH13 PE=1 SV=1	sp|P33150|CAD13_CHICK	3	0.9999085525996634	Cadherin-13	CDH13	P33150
419	sp|Q90WI4|MXRA8_CHICK Matrix remodeling-associated protein 8 OS=Gallus gallus (Chicken) OX=9031 GN=MXRA8 PE=2 SV=1	sp|Q90WI4|MXRA8_CHICK	3	0.9999077407992445	Matrix remodeling-associated protein 8	MXRA8	Q90WI4
420	tr|A0A3Q2TSW8|A0A3Q2TSW8_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=NID2 PE=4 SV=1	tr|A0A3Q2TSW8|A0A3Q2TSW8_CHICK	4	0.9999068832985358	Uncharacterized protein	NID2	A0A3Q2TSW8
421	Group of sp|Q02173|MPSF_CHICK M-protein, striated muscle OS=Gallus gallus (Chicken) OX=9031 GN=- PE=2 SV=1	sp|Q02173|MPSF_CHICK (+1)	4	0.9999068094984978	M-protein, striated muscle	-	Q02173
422	Group of sp|P81476|RNL2_CHICK Ribonuclease CL2 OS=Gallus gallus (Chicken) OX=9031 GN=- PE=1 SV=1	sp|P81476|RNL2_CHICK (+1)	2	0.9999064376024762	Ribonuclease CL2	-	P81476
423	tr|A0A1D5PMD9|A0A1D5PMD9_CHICK Carboxylic ester hydrolase OS=Gallus gallus (Chicken) OX=9031 GN=LOC769704 PE=3 SV=2	tr|A0A1D5PMD9|A0A1D5PMD9_CHICK	7	0.9999038604000816	Carboxylic ester hydrolase	LOC769704	A0A1D5PMD9
424	tr|A0A1D5PYR9|A0A1D5PYR9_CHICK VWFA domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ITGAD PE=3 SV=2	tr|A0A1D5PYR9|A0A1D5PYR9_CHICK	7	0.9999029500977485	VWFA domain-containing protein	ITGAD	A0A1D5PYR9
425	tr|A0A3Q2UBA5|A0A3Q2UBA5_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=PLTP PE=4 SV=1	tr|A0A3Q2UBA5|A0A3Q2UBA5_CHICK	3	0.9999016626024968	Uncharacterized protein	PLTP	A0A3Q2UBA5
426	tr|A0A1D5PJW4|A0A1D5PJW4_CHICK Proteasome subunit alpha type OS=Gallus gallus (Chicken) OX=9031 GN=PSMA7 PE=3 SV=1	tr|A0A1D5PJW4|A0A1D5PJW4_CHICK	5	0.9999015829016571	Proteasome subunit alpha type	PSMA7	A0A1D5PJW4
427	tr|A0A1D5P5L5|A0A1D5P5L5_CHICK Methyltransf_11 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC107048987 PE=4 SV=1	tr|A0A1D5P5L5|A0A1D5P5L5_CHICK	1	0.9999003320990596	Methyltransf_11 domain-containing protein	LOC107048987	A0A1D5P5L5
428	tr|A0A3Q2UJ04|A0A3Q2UJ04_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=PDLIM5 PE=4 SV=1	tr|A0A3Q2UJ04|A0A3Q2UJ04_CHICK	2	0.9998998930022935	Uncharacterized protein	PDLIM5	A0A3Q2UJ04
429	tr|F1NXX9|F1NXX9_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=LBP PE=4 SV=3	tr|F1NXX9|F1NXX9_CHICK	3	0.9998998450028012	Uncharacterized protein	LBP	F1NXX9
430	tr|F1NXH9|F1NXH9_CHICK Olfactomedin-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=OLFM4 PE=4 SV=3	tr|F1NXH9|F1NXH9_CHICK	6	0.9998976170027163	Olfactomedin-like domain-containing protein	OLFM4	F1NXH9
431	tr|A0A1L1RSA3|A0A1L1RSA3_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=FBLN7 PE=4 SV=1	tr|A0A1L1RSA3|A0A1L1RSA3_CHICK	3	0.99989703099709	Uncharacterized protein	FBLN7	A0A1L1RSA3
432	tr|F1P0J8|F1P0J8_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=THBS1 PE=4 SV=4	tr|F1P0J8|F1P0J8_CHICK	7	0.9998951340021449	Uncharacterized protein	THBS1	F1P0J8
433	tr|A0A3Q2U2B5|A0A3Q2U2B5_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MMP9 PE=3 SV=1	tr|A0A3Q2U2B5|A0A3Q2U2B5_CHICK	8	0.9998948349966668	Uncharacterized protein	MMP9	A0A3Q2U2B5
434	sp|Q5ZMT0|1433E_CHICK 14-3-3 protein epsilon OS=Gallus gallus (Chicken) OX=9031 GN=YWHAE PE=1 SV=1	sp|Q5ZMT0|1433E_CHICK	5	0.9998940029981895	14-3-3 protein epsilon	YWHAE	Q5ZMT0
435	tr|F1NJ23|F1NJ23_CHICK Laminin subunit beta-1 OS=Gallus gallus (Chicken) OX=9031 GN=LAMB1 PE=4 SV=4	tr|F1NJ23|F1NJ23_CHICK	14	0.9998929979992681	Laminin subunit beta-1	LAMB1	F1NJ23
436	tr|A0A3Q2U540|A0A3Q2U540_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049440 PE=4 SV=1	tr|A0A3Q2U540|A0A3Q2U540_CHICK	4	0.9998919479985489	Ig-like domain-containing protein	ENSGALG00000049440	A0A3Q2U540
437	tr|A0A3Q2U6K2|A0A3Q2U6K2_CHICK Collagen triple helix repeat containing 1 OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000033351 PE=4 SV=1	tr|A0A3Q2U6K2|A0A3Q2U6K2_CHICK	4	0.9998915739997756	Collagen triple helix repeat containing 1	ENSGALG00000033351	A0A3Q2U6K2
438	tr|F1NUN5|F1NUN5_CHICK Coagulation factor XI OS=Gallus gallus (Chicken) OX=9031 GN=KLKB1 PE=3 SV=4	tr|F1NUN5|F1NUN5_CHICK	7	0.9998908170018694	Coagulation factor XI	KLKB1	F1NUN5
439	tr|A0A3Q2TWN1|A0A3Q2TWN1_CHICK Acid sphingomyelinase-like phosphodiesterase OS=Gallus gallus (Chicken) OX=9031 GN=SMPDL3A PE=3 SV=1	tr|A0A3Q2TWN1|A0A3Q2TWN1_CHICK	1	0.9998906649998389	Acid sphingomyelinase-like phosphodiesterase	SMPDL3A	A0A3Q2TWN1
440	tr|A0A1L1S091|A0A1L1S091_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=PEBP1 PE=4 SV=2	tr|A0A1L1S091|A0A1L1S091_CHICK	1	0.9998899889978929	Uncharacterized protein	PEBP1	A0A1L1S091
441	tr|A5HUL4|A5HUL4_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=BLB2 PE=4 SV=1	tr|A5HUL4|A5HUL4_CHICK	5	0.9998899589991197	Ig-like domain-containing protein	BLB2	A5HUL4
442	tr|F1NM70|F1NM70_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=FSTL1 PE=4 SV=2	tr|F1NM70|F1NM70_CHICK	6	0.9998899420024827	Uncharacterized protein	FSTL1	F1NM70
443	tr|A0A1D5NW85|A0A1D5NW85_CHICK Lipocln_cytosolic_FA-bd_dom domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=EXFABP PE=3 SV=1	tr|A0A1D5NW85|A0A1D5NW85_CHICK	4	0.9998895039971103	Lipocln_cytosolic_FA-bd_dom domain-containing protein	EXFABP	A0A1D5NW85
444	tr|A0A3Q2U289|A0A3Q2U289_CHICK EF-hand domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=LOC107050604 PE=4 SV=1	tr|A0A3Q2U289|A0A3Q2U289_CHICK	2	0.999888878002821	EF-hand domain-containing protein	LOC107050604	A0A3Q2U289
445	tr|A0A3Q2UBC3|A0A3Q2UBC3_CHICK Microfibril associated protein 5 OS=Gallus gallus (Chicken) OX=9031 GN=MFAP5 PE=4 SV=1	tr|A0A3Q2UBC3|A0A3Q2UBC3_CHICK	2	0.999886987003265	Microfibril associated protein 5	MFAP5	A0A3Q2UBC3
446	tr|A0A1D5PVT6|A0A1D5PVT6_CHICK LAM_G_DOMAIN domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000046817 PE=4 SV=2	tr|A0A1D5PVT6|A0A1D5PVT6_CHICK	4	0.9998865620000288	LAM_G_DOMAIN domain-containing protein	ENSGALG00000046817	A0A1D5PVT6
447	tr|F1P5K3|F1P5K3_CHICK Triacylglycerol lipase OS=Gallus gallus (Chicken) OX=9031 GN=PNLIPRP1 PE=3 SV=1	tr|F1P5K3|F1P5K3_CHICK	2	0.9998865590023343	Triacylglycerol lipase	PNLIPRP1	F1P5K3
448	tr|A0A3Q2U474|A0A3Q2U474_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000049938 PE=4 SV=1	tr|A0A3Q2U474|A0A3Q2U474_CHICK	4	0.9998847099996055	Ig-like domain-containing protein	ENSGALG00000049938	A0A3Q2U474
449	Group of sp|P27042|LYG_CHICK Lysozyme g OS=Gallus gallus (Chicken) OX=9031 GN=- PE=2 SV=1	sp|P27042|LYG_CHICK (+1)	1	0.9998843150024186	Lysozyme g	-	P27042
450	tr|E1C1G8|E1C1G8_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=FBLN5 PE=4 SV=1	tr|E1C1G8|E1C1G8_CHICK	3	0.999884277000092	Uncharacterized protein	FBLN5	E1C1G8
451	tr|Q5G8Y9|Q5G8Y9_CHICK Lipocln_cytosolic_FA-bd_dom domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ApoD PE=2 SV=1	tr|Q5G8Y9|Q5G8Y9_CHICK	3	0.9998814339996898	Lipocln_cytosolic_FA-bd_dom domain-containing protein	ApoD	Q5G8Y9
452	tr|E1BUT3|E1BUT3_CHICK CD34 molecule OS=Gallus gallus (Chicken) OX=9031 GN=CD34 PE=4 SV=3	tr|E1BUT3|E1BUT3_CHICK	2	0.999880821997067	CD34 molecule	CD34	E1BUT3
453	tr|A0A1D5PBU0|A0A1D5PBU0_CHICK ITI_HC_C domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000054442 PE=4 SV=2	tr|A0A1D5PBU0|A0A1D5PBU0_CHICK	3	0.9998794889979763	ITI_HC_C domain-containing protein	ENSGALG00000054442	A0A1D5PBU0
454	tr|E1BT44|E1BT44_CHICK Alpha-galactosidase OS=Gallus gallus (Chicken) OX=9031 GN=GLA PE=3 SV=2	tr|E1BT44|E1BT44_CHICK	2	0.9998790340032429	Alpha-galactosidase	GLA	E1BT44
455	tr|F1NE59|F1NE59_CHICK Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1 OS=Gallus gallus (Chicken) OX=9031 GN=CR1 PE=4 SV=2	tr|F1NE59|F1NE59_CHICK	12	0.9998781320027774	Sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	CR1	F1NE59
456	tr|A0A3Q3AL57|A0A3Q3AL57_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=B4GALT1 PE=4 SV=1	tr|A0A3Q3AL57|A0A3Q3AL57_CHICK	2	0.9998777120054001	Uncharacterized protein	B4GALT1	A0A3Q3AL57
457	tr|E1BS45|E1BS45_CHICK Coiled-coil domain containing 126 OS=Gallus gallus (Chicken) OX=9031 GN=CCDC126 PE=4 SV=1	tr|E1BS45|E1BS45_CHICK	1	0.9998773520055693	Coiled-coil domain containing 126	CCDC126	E1BS45
458	tr|F1NT20|F1NT20_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ACAT2 PE=3 SV=2	tr|F1NT20|F1NT20_CHICK	2	0.9998760830058018	Uncharacterized protein	ACAT2	F1NT20
459	tr|R4GHN2|R4GHN2_CHICK Meteorin like, glial cell differentiation regulator OS=Gallus gallus (Chicken) OX=9031 GN=METRNL PE=4 SV=2	tr|R4GHN2|R4GHN2_CHICK	3	0.9998760070011485	Meteorin like, glial cell differentiation regulator	METRNL	R4GHN2
460	tr|Q7ZT63|Q7ZT63_CHICK Proteasome subunit beta OS=Gallus gallus (Chicken) OX=9031 GN=cpsmb7 PE=2 SV=1	tr|Q7ZT63|Q7ZT63_CHICK	3	0.9998747219942743	Proteasome subunit beta	cpsmb7	Q7ZT63
461	tr|E1BX85|E1BX85_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=GSTO2 PE=4 SV=1	tr|E1BX85|E1BX85_CHICK	4	0.9998709939973196	Uncharacterized protein	GSTO2	E1BX85
462	tr|F1NCZ2|F1NCZ2_CHICK Rab GDP dissociation inhibitor OS=Gallus gallus (Chicken) OX=9031 GN=GDI1 PE=3 SV=3	tr|F1NCZ2|F1NCZ2_CHICK	3	0.999869117003982	Rab GDP dissociation inhibitor	GDI1	F1NCZ2
463	tr|F1P386|F1P386_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=CR1L PE=4 SV=1	tr|F1P386|F1P386_CHICK	2	0.9998685080063296	Uncharacterized protein	CR1L	F1P386
464	tr|A0A1D5PZZ8|A0A1D5PZZ8_CHICK Alpha-mannosidase OS=Gallus gallus (Chicken) OX=9031 GN=MAN2A2 PE=3 SV=2	tr|A0A1D5PZZ8|A0A1D5PZZ8_CHICK	4	0.9998684839956695	Alpha-mannosidase	MAN2A2	A0A1D5PZZ8
465	sp|P02609|MLRS_CHICK Myosin regulatory light chain 2, skeletal muscle isoform OS=Gallus gallus (Chicken) OX=9031 GN=MYLPF PE=1 SV=2	sp|P02609|MLRS_CHICK	1	0.9998681019933429	Myosin regulatory light chain 2, skeletal muscle isoform	MYLPF	P02609
466	sp|Q9DDD0|NRX1A_CHICK Neurexin-1 OS=Gallus gallus (Chicken) OX=9031 GN=NRXN1 PE=2 SV=1	sp|Q9DDD0|NRX1A_CHICK	2	0.9998676440009149	Neurexin-1	NRXN1	Q9DDD0
467	sp|P09207|TBB6_CHICK Tubulin beta-6 chain OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000007447 PE=1 SV=1	sp|P09207|TBB6_CHICK	6	0.9998634950025007	Tubulin beta-6 chain	ENSGALG00000007447	P09207
468	tr|A0A3Q3ATJ1|A0A3Q3ATJ1_CHICK VWFA domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=CACNA2D1 PE=4 SV=1	tr|A0A3Q3ATJ1|A0A3Q3ATJ1_CHICK	4	0.9998616189986933	VWFA domain-containing protein	CACNA2D1	A0A3Q3ATJ1
469	tr|A0A1D5P6N4|A0A1D5P6N4_CHICK Meprin A subunit OS=Gallus gallus (Chicken) OX=9031 GN=MEP1A PE=4 SV=1	tr|A0A1D5P6N4|A0A1D5P6N4_CHICK	4	0.999860483003431	Meprin A subunit	MEP1A	A0A1D5P6N4
470	tr|F1NL81|F1NL81_CHICK SCP domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PI16 PE=3 SV=4	tr|F1NL81|F1NL81_CHICK	2	0.9998593680065824	SCP domain-containing protein	PI16	F1NL81
471	tr|A0A1D5PG47|A0A1D5PG47_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=CTSH PE=3 SV=2	tr|A0A1D5PG47|A0A1D5PG47_CHICK	1	0.9998575500067091	Uncharacterized protein	CTSH	A0A1D5PG47
472	tr|A0A1D5PX97|A0A1D5PX97_CHICK AMP_N domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=PEPD PE=3 SV=2	tr|A0A1D5PX97|A0A1D5PX97_CHICK	5	0.9998526749986922	AMP_N domain-containing protein	PEPD	A0A1D5PX97
473	tr|A0A1L1RPV2|A0A1L1RPV2_CHICK Ig-like domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000045640 PE=4 SV=2	tr|A0A1L1RPV2|A0A1L1RPV2_CHICK	1	0.9998423700017156	Ig-like domain-containing protein	ENSGALG00000045640	A0A1L1RPV2
474	Group of sp|P02552|TBA1_CHICK Tubulin alpha-1 chain OS=Gallus gallus (Chicken) OX=9031 GN=- PE=1 SV=1	sp|P02552|TBA1_CHICK (+1)	8	0.9998406800004886	Tubulin alpha-1 chain	-	P02552
475	tr|A0A1D5PLP6|A0A1D5PLP6_CHICK VWFA domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ANTXR1 PE=4 SV=2	tr|A0A1D5PLP6|A0A1D5PLP6_CHICK	3	0.9998402149940375	VWFA domain-containing protein	ANTXR1	A0A1D5PLP6
476	tr|E1C573|E1C573_CHICK Leucine carboxyl methyltransferase 2 OS=Gallus gallus (Chicken) OX=9031 GN=LCMT2 PE=4 SV=1	tr|E1C573|E1C573_CHICK	1	0.9998364630009746	Leucine carboxyl methyltransferase 2	LCMT2	E1C573
477	sp|P15988|CO6A2_CHICK Collagen alpha-2(VI) chain OS=Gallus gallus (Chicken) OX=9031 GN=COL6A2 PE=2 SV=1	sp|P15988|CO6A2_CHICK	7	0.9998326439963421	Collagen alpha-2(VI) chain	COL6A2	P15988
478	tr|E1BSN7|E1BSN7_CHICK Alpha-1,4 glucan phosphorylase OS=Gallus gallus (Chicken) OX=9031 GN=PYGB PE=3 SV=2	tr|E1BSN7|E1BSN7_CHICK	5	0.9998311170056695	Alpha-1,4 glucan phosphorylase	PYGB	E1BSN7
479	tr|Q5ZJL1|Q5ZJL1_CHICK Polypeptide N-acetylgalactosaminyltransferase OS=Gallus gallus (Chicken) OX=9031 GN=GALNT1 PE=2 SV=1	tr|Q5ZJL1|Q5ZJL1_CHICK	3	0.999829544001841	Polypeptide N-acetylgalactosaminyltransferase	GALNT1	Q5ZJL1
480	tr|A0A3Q2TVC4|A0A3Q2TVC4_CHICK Ectonucleotide pyrophosphatase/phosphodiesterase 6 OS=Gallus gallus (Chicken) OX=9031 GN=ENPP6 PE=4 SV=1	tr|A0A3Q2TVC4|A0A3Q2TVC4_CHICK	2	0.9998284129978856	Ectonucleotide pyrophosphatase/phosphodiesterase 6	ENPP6	A0A3Q2TVC4
481	sp|Q90944|EPYC_CHICK Epiphycan OS=Gallus gallus (Chicken) OX=9031 GN=EPYC PE=2 SV=1	sp|Q90944|EPYC_CHICK	3	0.9998263309971662	Epiphycan	EPYC	Q90944
482	tr|E1BW20|E1BW20_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=CPB1 PE=4 SV=1	tr|E1BW20|E1BW20_CHICK	1	0.9998243180016289	Uncharacterized protein	CPB1	E1BW20
483	tr|A0A1D5P525|A0A1D5P525_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=MYH1C PE=3 SV=1	tr|A0A1D5P525|A0A1D5P525_CHICK	16	0.9998242260044208	Uncharacterized protein	MYH1C	A0A1D5P525
484	tr|F1N9T1|F1N9T1_CHICK SelP_N domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000014857 PE=4 SV=4	tr|F1N9T1|F1N9T1_CHICK	1	0.9998216969979694	SelP_N domain-containing protein	ENSGALG00000014857	F1N9T1
485	tr|F1P1B2|F1P1B2_CHICK Uncharacterized protein OS=Gallus gallus (Chicken) OX=9031 GN=ADGRG6 PE=3 SV=2	tr|F1P1B2|F1P1B2_CHICK	5	0.9998207799944794	Uncharacterized protein	ADGRG6	F1P1B2
486	sp|P08106|HSP70_CHICK Heat shock 70 kDa protein OS=Gallus gallus (Chicken) OX=9031 GN=- PE=1 SV=1	sp|P08106|HSP70_CHICK	10	0.9998181130067678	Heat shock 70 kDa protein	-	P08106
487	tr|F1P4X6|F1P4X6_CHICK BRICHOS domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ITM2A PE=4 SV=1	tr|F1P4X6|F1P4X6_CHICK	2	0.9998158179951133	BRICHOS domain-containing protein	ITM2A	F1P4X6
488	Group of sp|Q5F4B1|PGP_CHICK Glycerol-3-phosphate phosphatase OS=Gallus gallus (Chicken) OX=9031 GN=PGP PE=2 SV=1	sp|Q5F4B1|PGP_CHICK (+1)	3	0.9998122480028542	Glycerol-3-phosphate phosphatase	PGP	Q5F4B1
489	tr|Q2LK96|Q2LK96_CHICK C-type lectin domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=LL PE=2 SV=1	tr|Q2LK96|Q2LK96_CHICK	1	0.9998102940007811	C-type lectin domain-containing protein	LL	Q2LK96
490	tr|A0A1L1RNI7|A0A1L1RNI7_CHICK Fibrillar collagen NC1 domain-containing protein OS=Gallus gallus (Chicken) OX=9031 GN=ENSGALG00000005180 PE=4 SV=1	tr|A0A1L1RNI7|A0A1L1RNI7_CHICK	5	0.9998088910069782	Fibrillar collagen NC1 domain-containing protein	ENSGALG00000005180	A0A1L1RNI7
491	tr|A0A1D5PW86|A0A1D5PW86_CHICK alpha-1,2-Mannosidase OS=Gallus gallus (Chicken) OX=9031 GN=MAN1A1 PE=3 SV=1	tr|A0A1D5PW86|A0A1D5PW86_CHICK	3	0.9998085809929762	alpha-1,2-Mannosidase	MAN1A1	A0A1D5PW86
